Judge,MRSPB,MRSPB_raw,MRSPB_other,MRSPB_ratio,n_overest_self,n_total_self,n_overest_other,n_total_other
Gemma-27B,0.0008987970097042858,0.11807047888603525,0.11717168187633097,1.0076707698934706,6758,57237,60359,515133
Gemma-12B,-0.004468748847385046,0.11957300347677202,0.12404175232415707,0.9639738332968167,6844,57237,63898,515133
Gemma-4B,0.04995991326511795,0.20491989447385434,0.15495998120873639,1.3224052615095523,11729,57237,79825,515133
Llama-Mav,-0.0008333770113737593,0.07924943655327847,0.08008281356465223,0.9895935597879443,4536,57237,45837,572370
Llama-Scout,0.010688890053636643,0.09310411097716512,0.08241522092352847,1.1296955821249894,5329,57237,47172,572370
Qwen-235B,0.0007823222352285747,0.0465782623128396,0.04579594007761102,1.0170827858081473,2666,57237,23591,515133
Qwen-30B,-0.0024168515703711507,0.1089679752607579,0.11138482683112905,0.9783017881417965,6237,57237,57378,515133
Qwen-4B,-0.003220527514253599,0.12098817198665199,0.12420869950090559,0.9740716429107277,6925,57237,63984,515133
GPT-120B,0.00028128658035885684,0.033300138022607756,0.0330188514422489,1.0085189692576326,1906,57237,18899,572370
