Generator,score_delta,score_delta_norm,rank_delta
Gemma-27B,0.006857635101324588,0.015347416964065004,0.1111111111111111
Gemma-12B,0.009448887057908386,0.020424293100099924,0.1111111111111111
Gemma-4B,0.031706087015582404,0.07060213615237182,-0.3333333333333333
Llama-Mav,0.03851844704336742,0.09872438129048067,0.2222222222222222
Llama-Scout,0.04042559993775543,0.1050769887030864,-0.2222222222222222
Qwen-235B,-0.0021675231526243005,-0.0011468619731781606,0.0
Qwen-30B,0.006520341058471392,0.014188155035467677,-0.4444444444444444
Qwen-4B,0.018055342530975363,0.03764643644377271,-0.2222222222222222
GPT-120B,-0.005372203879648812,-0.006195030971998873,0.2222222222222222
GPT-5,-0.035660462883798316,-0.04840621303199236,0.3333333333333333
Claude-Haiku,0.018551426538665594,0.04023399096380418,-0.1111111111111111
Claude-Sonnet,0.008506277197668955,0.0185854554085044,0.3333333333333333
