Judge,SR,SR_n_concordant,SR_n_total,AR,AR_n_concordant,AR_n_total,DA,DA_n_concordant,DA_n_total,PWC,PWC_n_concordant,PWC_n_total
Gemma-27B,0.6515151515151515,43,66,0.7121212121212122,47,66,0.5606060606060606,37,66,0.5151515151515151,34,66
Gemma-12B,0.4090909090909091,27,66,0.5757575757575758,38,66,0.5303030303030303,35,66,0.42424242424242425,28,66
Gemma-4B,0.4696969696969697,31,66,0.36363636363636365,24,66,0.3939393939393939,26,66,0.3787878787878788,25,66
Llama-Mav,0.803030303030303,53,66,0.7424242424242424,49,66,0.7424242424242424,49,66,0.5909090909090909,39,66
Llama-Scout,0.6212121212121212,41,66,0.5606060606060606,37,66,0.5606060606060606,37,66,0.5757575757575758,38,66
Qwen-235B,0.8636363636363636,57,66,0.8787878787878788,58,66,0.8181818181818182,54,66,0.6666666666666666,44,66
Qwen-30B,0.7727272727272727,51,66,0.6818181818181818,45,66,0.6818181818181818,45,66,0.6363636363636364,42,66
Qwen-4B,0.7424242424242424,49,66,0.6818181818181818,45,66,0.696969696969697,46,66,0.6363636363636364,42,66
GPT-120B,0.8939393939393939,59,66,0.9090909090909091,60,66,0.9090909090909091,60,66,0.8333333333333334,55,66
