Generator,SR_score_delta,SR_score_delta_norm,SR_rank_delta,AR_score_delta,AR_score_delta_norm,AR_rank_delta,DA_score_delta,DA_score_delta_norm,DA_rank_delta,PWC_score_delta,PWC_score_delta_norm,PWC_rank_delta
Gemma-27B,0.052372150338878556,0.06002824858757053,-3.8333333333333335,0.06828917642226323,0.07827212806026357,-5.222222222222222,0.07735527975823721,0.0886635727737422,-5.277777777777778,0.08290856812113742,0.17010477120802925,-5.888888888888889
Gemma-12B,0.04326692681591022,0.0499091842375425,-2.3333333333333335,0.06325734237009648,0.07296849087893859,-3.0555555555555554,0.06924077497090439,0.07987048882571274,-1.8888888888888888,0.0732369909819078,0.15332746995016125,-5.555555555555555
Gemma-4B,0.07968782090778392,0.09691519920069935,-2.6666666666666665,0.09700828369959606,0.11798010074518128,-1.9444444444444444,0.10676388033134794,0.12984471920402976,-3.0,0.02729699957056702,0.0615319865319865,-4.0
Llama-Mav,0.008831382214006997,0.009584308480998562,0.8888888888888888,0.023755733552406393,0.02578104684423642,1.3333333333333333,0.030499075785582308,0.0330992978936811,0.8888888888888888,-0.17743049720868573,-0.34276542408339195,6.888888888888889
Llama-Scout,0.024577257479290834,0.027368019820850104,0.6666666666666666,0.03864585472718561,0.043034114732227964,2.111111111111111,0.04884644348599993,0.054392986468458235,0.5,-0.15550140966037454,-0.3115263049617536,5.111111111111111
Qwen-235B,0.016807010337509396,0.01816701816701815,-0.1111111111111111,0.02690490860546308,0.02908202908202902,0.7777777777777778,0.03316902854795642,0.03585303585303581,-0.1111111111111111,0.05605967251068919,0.10782518135459322,0.4444444444444444
Qwen-30B,0.033477100020538164,0.03757491931765798,-1.1111111111111112,0.050318340521667726,0.05647763946519137,-1.0,0.057130143082084,0.06412325188258806,-2.2222222222222223,0.0606060606060606,0.1222184570202191,-2.4444444444444446
Qwen-4B,0.034777846238105155,0.03906189926951188,-1.2777777777777777,0.047853768741014734,0.05374855824682831,-0.7777777777777778,0.056103238173478585,0.06301422529796247,-0.7222222222222222,0.012425549394126089,0.025142619668291174,-0.8888888888888888
GPT-120B,0.027452591223386096,0.03052795858551259,1.3888888888888888,0.044841514342438576,0.049864870008754926,1.2222222222222223,0.04752515917026084,0.05284914925202696,3.111111111111111,0.06697287103941446,0.1340809270161667,-1.0
GPT-5,-0.015780105428904005,-0.01639111111111117,1.8888888888888888,-0.0012665160539468484,-0.00131555555555567,0.5,0.0030701823677793025,0.003189059829059716,2.0,0.07650441569110705,0.13846647742633156,0.4444444444444444
Claude-Haiku,0.020024645717806527,0.022553782095766823,1.2222222222222223,0.04097350585335793,0.04614850798056899,0.6666666666666666,0.048812213322379616,0.05497725345053581,0.9444444444444444,-0.07044567673033476,-0.14317698846387372,1.0
Claude-Sonnet,-0.004107619634421818,-0.004429678848283464,5.277777777777778,0.013452454302731601,0.0145071982281285,5.388888888888889,0.01894981858013288,0.020435585086747955,5.777777777777778,-0.052633544315614525,-0.10112097569724683,5.888888888888889
