Judge,SR,SR_n_agree,SR_n_total,AR,AR_n_agree,AR_n_total,DA,DA_n_agree,DA_n_total,PWC,PWC_n_agree,PWC_n_total
Gemma-27B,0.8225228252954685,29369,35706,0.8257155660113146,29483,35706,0.8272559233742228,29538,35706,0.41609253346776454,14857,35706
Gemma-12B,0.8098638884221139,28917,35706,0.8275920013443119,29550,35706,0.8272839298717303,29539,35706,0.3865456785974346,13802,35706
Gemma-4B,0.8282921637819974,29575,35706,0.8304206575925615,29651,35706,0.8309527810452025,29670,35706,0.3574469276872234,12763,35706
Llama-Mav,0.7893351257491739,28184,35706,0.7898112362067999,28201,35706,0.7812692544670363,27896,35706,0.5142553072312777,18362,35706
Llama-Scout,0.7710748893743349,27532,35706,0.7961687111409848,28428,35706,0.7873746709236543,28114,35706,0.46846468380664313,16727,35706
Qwen-235B,0.8035904329804515,28693,35706,0.8088276480143394,28880,35706,0.8185739091469221,29228,35706,0.4437909595026046,15846,35706
Qwen-30B,0.8083795440542206,28864,35706,0.8211785134151123,29321,35706,0.8262196829664482,29501,35706,0.45028846692432645,16078,35706
Qwen-4B,0.7828656248249594,27953,35706,0.7886069568139809,28158,35706,0.7988573349016972,28524,35706,0.4022293172015908,14362,35706
GPT-120B,0.8361339830840755,29855,35706,0.8366661065367165,29874,35706,0.8404189772027111,30008,35706,0.8110401613174256,28959,35706
