Judge,Method,MISPB,MISPB_raw,MISPB_other,MISPB_ratio,n_overest_self,n_total_self,n_overest_other,n_total_other,n_t2w_self,n_l2w_self,n_l2t_self,n_t2w_other,n_l2w_other,n_l2t_other
Gemma-27B,SR,0.03588565880617636,0.11124180809947908,0.07535614929330271,1.4762140733399405,662,5951,4036,53559,75,12,575,699,87,3250
Gemma-27B,AR,0.037472693664930265,0.11056965215930095,0.07309695849437069,1.5126436781609196,658,5951,3915,53559,67,9,582,532,64,3319
Gemma-27B,DA,0.03315969304878731,0.10620063854814317,0.07304094549935586,1.4539877300613495,632,5951,3912,53559,36,15,581,443,54,3415
Gemma-27B,PWC,0.16008513975242256,0.4187531507309696,0.258668010978547,1.6188826331745345,2492,5951,13854,53559,2005,249,238,11941,803,1110
Gemma-12B,SR,0.045277170970331765,0.1253570828432196,0.08007991187288785,1.5653998601072507,746,5951,4289,53559,148,27,571,979,105,3205
Gemma-12B,AR,0.0446610280251685,0.11645101663585952,0.07178998861069102,1.6221066319895967,693,5951,3845,53559,78,11,604,496,29,3320
Gemma-12B,DA,0.040198659422319316,0.11225004200974627,0.07205138258742695,1.5579165586939623,668,5951,3859,53559,49,11,608,392,69,3398
Gemma-12B,PWC,0.21473515188857145,0.47353385985548646,0.258798707966915,1.8297381141331792,2818,5951,13861,53559,2302,264,252,11681,859,1321
Gemma-4B,SR,0.09738792733247448,0.16938329692488657,0.0719953695924121,2.352697095435685,1008,5951,3856,53559,26,19,963,324,51,3481
Gemma-4B,AR,0.09820945125935884,0.16854310199966394,0.07033365074030509,2.3963366073798777,1003,5951,3767,53559,15,13,975,129,42,3596
Gemma-4B,DA,0.09755596631751899,0.16803898504453033,0.07048301872701133,2.3841059602649004,1000,5951,3775,53559,14,8,978,150,32,3593
Gemma-4B,PWC,0.16676935715752716,0.4416064526970257,0.27483709553949853,1.6067934782608693,2628,5951,14720,53559,1810,459,359,12437,1049,1234
Llama-Mav,SR,-0.0016635859519408408,0.1030078978322971,0.10467148378423793,0.9841065981698508,613,5951,6229,59510,312,10,291,2271,201,3757
Llama-Mav,AR,-0.00655352041673668,0.09830280625105024,0.10485632666778692,0.9375,585,5951,6240,59510,279,18,288,2243,215,3782
Llama-Mav,DA,-0.008939674004369014,0.1008233910267182,0.10976306503108721,0.9185548071034905,600,5951,6532,59510,292,20,288,2399,248,3885
Llama-Mav,PWC,-0.09875651151067044,0.1623256595530163,0.26108217106368675,0.6217416489669821,966,5951,15537,59510,792,29,145,12261,922,2354
Llama-Scout,SR,-0.012619727776844225,0.10435220971265334,0.11697193748949757,0.8921132021261313,621,5951,6961,59510,241,26,354,2769,262,3930
Llama-Scout,AR,-0.007024029574861368,0.09779868929591665,0.10482271887077801,0.9329913433792882,582,5951,6238,59510,178,13,391,1821,222,4195
Llama-Scout,DA,-0.007175264661401462,0.1025037808771635,0.10967904553856496,0.9345794392523363,610,5951,6527,59510,188,20,402,2079,273,4175
Llama-Scout,PWC,-0.1393043186019156,0.15056293059989917,0.2898672492018148,0.5194202898550725,896,5951,17250,59510,679,34,183,13845,1120,2285
Qwen-235B,SR,0.0036221736776265445,0.09964711813140649,0.09602494445377995,1.037721174411822,593,5951,5143,53559,333,21,239,1866,163,3114
Qwen-235B,AR,-0.0038462256576859144,0.09074105192404638,0.0945872775817323,0.9593367548361627,540,5951,5066,53559,293,24,223,1675,168,3223
Qwen-235B,DA,-0.012901659851752276,0.07746597210552848,0.09036763195728076,0.8572314049586777,461,5951,4840,53559,197,18,246,1162,112,3566
Qwen-235B,PWC,0.12713082768535633,0.3871618215425979,0.26003099385724154,1.4889064407266461,2304,5951,13927,53559,2056,107,141,11704,698,1525
Qwen-30B,SR,0.0022405198005937266,0.09947907914636196,0.09723855934576824,1.0230414746543777,592,5951,5208,53559,128,13,451,1113,120,3975
Qwen-30B,AR,0.004761104576261693,0.09611829944547134,0.09135719486920965,1.0521152667075413,572,5951,4893,53559,97,9,466,646,99,4148
Qwen-30B,DA,-0.0035474896842734027,0.08620399932784406,0.08975148901211746,0.9604743083003954,513,5951,4807,53559,47,7,459,452,65,4290
Qwen-30B,PWC,0.1795963330159263,0.4200974626113258,0.2405011295953995,1.7467587920192529,2500,5951,12881,53559,2107,184,209,10412,749,1720
Qwen-4B,SR,0.012472226889971794,0.12048395227692825,0.10801172538695646,1.1154710458081243,717,5951,5785,53559,277,52,388,1833,218,3734
Qwen-4B,AR,0.0027819787524039075,0.1102335741892119,0.10745159543680799,1.0258905299739358,656,5951,5755,53559,209,41,406,1692,199,3864
Qwen-4B,DA,0.0051531955413655905,0.10720887245841035,0.10205567691704476,1.0504939626783754,638,5951,5466,53559,161,32,445,1184,149,4133
Qwen-4B,PWC,0.10198099292369167,0.37573517055956984,0.27375417763587817,1.3725276224253173,2236,5951,14662,53559,1858,191,187,11997,862,1803
GPT-120B,SR,0.009225340278944713,0.09040497395395732,0.0811796336750126,1.1136410681018423,538,5951,4831,59510,347,19,172,3224,135,1472
GPT-120B,AR,0.009057301293900186,0.08990085699882373,0.08084355570492355,1.1120349199750572,535,5951,4811,59510,348,12,175,3144,101,1566
GPT-120B,DA,0.0033439758023861427,0.08334733658208704,0.0800033607797009,1.0417979416089056,496,5951,4761,59510,314,5,177,3029,118,1614
GPT-120B,PWC,0.016249369853806095,0.10771298941354394,0.09146361955973785,1.1776593790189236,641,5951,5443,59510,495,19,127,4064,145,1234
